ID;Types of Millets;Common Name;Category;Drought resistant;Flood Resistant;Min Temperature (ºC);Max Temperature (ºC);pH level of the soil Min;pH level of the soil Max;Soil type;Soil Salinity (dS/m) Min;Soil Salinity (dS/m) Max;Rainfall Required (cm) Min;Rainfall Required (cm) Max;Altitude range (m) Min;Altitude range (m) Max;Soil Temperature (ºC) Min;Soil Temperature (ºC) Max;"Soil moisture
min";"Soil moisture
max";Light Duration (hours) Min;Light Duration (hours) Max;Land usage for each crop (t/ha) Min;Land usage for each crop (t/ha) Max;Seeding Rate (kg/ha) Min;Seeding Rate (kg/ha) Max;Maturity time (days) Min;Maturity time (days) Max;Planting Depth (cm) Min;Planting Depth (cm) Max;Planting Geometry (cm x cm);Protein (g);Fat (g);Ash (g);Crude Fibre (g);Carbo- hydrates (g);Energy (kcal);Calcium (mg);Iron (mg);Thiamine (mg);Ribo- flavin (mg);Nia- cin (mg);Price (US$ / Kg)
22;Great millet (Sorghum bicolor);Great millet or Jowar;Major;1;0;25;30;6;7;SLC;0;2;70;160;0;1000;;;20 %;70 %;;;1;2;;;;;0;100;10x20;11.3;3.3;1.6;1.2;80.8;349;28;3.9;0.37;0.14;1.2;
23;Barnyard grass millet (Echinochloa crus-galli);Barnyard grass millet or Jungle rice;Minor;0;1;20;30;6;7;SLC;0;2;600;900;0;2000;20;30;15 %;65 %;12;14;1;2;5;10;70;90;2;3;15x30;;;;;;;;;;;;
24;Naked barley (Hordeum vulgare var. nudum);Naked barley;Major;1;0;10;25;6;7.5;SLC;0;2;400;600;0;3000;10;25;20 %;70 %;12;14;1;2;100;150;90;110;3;5;15x20;9.9;1.9;1.7;2.3;81.9;352;30;2.8;0.12;0.05;0.7;
25;Panic millet (Panicum miliaceum subsp. ruderale);Panic millet;Major;1;0;20;30;6;7.5;SLC;0;2;400;600;0;2000;20;30;20 %;70 %;12;14;1;2;5;10;70;90;2;3;15-30;;;;;;;;;;;;
26;Sorghum (Sorghum bicolor);Sorghum or Jowar;Major;1;0;25;35;6;7.5;SLC;3;5;400;800;0;2000;12;34;20 %;70 %;12;14;2;5;10;20;115;140;2;4;20x30;10.6;3.1;1.9;1.7;78.8;361;29;1.5;0.22;0.11;1.2;
27;Sawa millet (Echinochloa stagnina);Sawa millet;Minor;0;1;25;35;6;7.5;SLC;0;2;600;900;0;1500;25;35;15 %;65 %;12;14;1;2;5;10;80;100;2;3;10x20;;;;;;;;;;;;
28;Barnyard Grass Millet (Echinochloa crus-galli);Barnyard grass millet or Jungle rice;Minor;0;1;20;30;5.5;7;SLC;0;2;600;900;0;2000;20;30;15 %;65 %;12;14;1;2;5;10;60;75;2;3;20x30;;;;;;;;;;;;
29;Japanese Barnyard Millet (Echinochloa frumentacea);Japanese barnyard millet or Sanwa millet;Minor;0;1;25;35;5.5;7;SLC;3;5;600;900;0;2000;25;35;15 %;65 %;12;14;1;2;5;10;70;90;2;3;20x30;11.2;3.5;2.2;2.6;73.5;366;14;9.2;0.34;0.12;1.3;
30;Himalayan Foxtail Millet (Setaria italica subsp. himalayensis);Himalayan foxtail millet or Kakum;Minor;0;1;20;30;6;7.5;SLC;3;5;600;800;1000;2500;20;30;20 %;70 %;12;14;1;2;5;10;50;75;2;3;15x20;;;;;;;;;;;;
31;Italian Barnyard Millet (Echinochloa crus-galli);Italian barnyard millet or Jungle rice;Minor;0;1;25;35;5.5;7;SLC;3;5;600;900;0;2000;25;35;15 %;65 %;12;14;1;2;5;10;70;90;2;3;40x60;;;;;;;;;;;;
32;Foxtail Barnyard Millet (Echinochloa frumentacea);Foxtail barnyard millet or Kakum;Minor;0;1;25;35;5.5;7;SLC;3;5;600;900;0;2000;25;35;15 %;65 %;12;14;1;2;5;10;70;90;2;3;20x30;11.2;3.5;2.2;2.6;73.5;366;14;9.2;0.34;0.12;1.3;
33;Siberian Millet (Panicum miliaceum subsp. sibiricum);Siberian millet;Minor;1;0;20;30;6;7;SLC;0;2;400;600;0;2000;20;30;20 %;70 %;12;14;1;2;5;10;70;90;2;3;20x30;;;;;;;;;;;;
34;Italian Foxtail Millet (Setaria italica subsp. pycnocoma);Italian foxtail millet;Minor;0;1;25;35;6;7.5;SLC;0;2;600;800;1000;2500;25;35;20 %;70 %;12;14;1;2;5;10;60;75;2;3;15x20;;;;;;;;;;;;
